City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rainfall(1hr),Snowfall(1hr)
0,Komsomolskiy,UZ,40.43,71.72,75.2,41,0,6.93,clear sky,0,0
1,Barrow,US,71.29,-156.79,46.4,75,1,25.28,clear sky,0,0
2,Kudahuvadhoo,MV,2.67,72.89,82.98,76,74,15.57,light rain,0,0
3,Yellowknife,CA,62.46,-114.35,73.4,46,40,10.29,scattered clouds,0,0
4,Tuatapere,NZ,-46.13,167.68,54.55,70,100,7.99,overcast clouds,0,0
5,Rikitea,PF,-23.12,-134.97,73.29,84,74,14.67,broken clouds,0,0
6,Pakokku,MM,21.33,95.1,79.56,80,97,9.42,overcast clouds,0,0
7,Lena,ES,43.1,-5.73,68.0,88,75,6.93,broken clouds,0,0
8,Mataura,NZ,-46.19,168.86,53.58,74,100,3.2,overcast clouds,0,0
9,Olden,NO,61.84,6.81,57.0,97,98,4.21,overcast clouds,0,0
10,Jamestown,US,42.1,-79.24,75.99,78,75,5.82,broken clouds,0,0
11,Qaanaaq,GL,77.48,-69.36,42.58,68,1,2.06,clear sky,0,0
12,Igrim,RU,63.19,64.42,49.87,69,93,1.99,overcast clouds,0,0
13,Vaini,TO,-21.2,-175.2,71.6,78,75,19.46,light intensity drizzle,0,0
14,East London,ZA,-33.02,27.91,59.4,69,0,10.94,clear sky,0,0
15,Iacu,BR,-12.77,-40.21,67.68,83,37,5.26,scattered clouds,0,0
16,Mahebourg,MU,-20.41,57.7,69.8,83,75,8.05,broken clouds,0,0
17,Busselton,AU,-33.65,115.33,46.0,97,82,5.79,broken clouds,0,0
18,Ushuaia,AR,-54.8,-68.3,37.4,74,40,20.8,scattered clouds,0,0
19,Cabo San Lucas,MX,22.89,-109.91,89.6,61,40,12.75,scattered clouds,0,0
20,Bluff,NZ,-46.6,168.33,54.3,70,100,12.8,overcast clouds,0,0
21,Khatanga,RU,71.97,102.5,62.08,57,100,13.35,overcast clouds,0,0
22,Avarua,CK,-21.21,-159.78,69.8,83,36,6.93,light rain,0,0
23,Menongue,AO,-14.66,17.69,50.25,46,8,4.07,clear sky,0,0
24,Sitka,US,57.05,-135.33,66.2,63,1,4.7,clear sky,0,0
25,Pierre,US,44.37,-100.35,80.01,78,90,12.75,moderate rain,0,0
26,Carnarvon,AU,-24.87,113.63,48.2,100,0,6.93,clear sky,0,0
27,Bengkulu,ID,-3.8,102.27,73.89,88,71,3.89,broken clouds,0,0
28,Kaitangata,NZ,-46.28,169.85,54.0,68,100,1.99,overcast clouds,0,0
29,Hermanus,ZA,-34.42,19.23,57.99,82,23,8.59,few clouds,0,0
30,Atuona,PF,-9.8,-139.03,78.84,75,6,19.82,light rain,0,0
31,Butaritari,KI,3.07,172.79,82.92,74,25,17.4,scattered clouds,0,0
32,Bahia Honda,CU,22.9,-83.16,81.43,84,13,11.41,light rain,0,0
33,Bredasdorp,ZA,-34.53,20.04,57.2,76,9,11.41,clear sky,0,0
34,Barra Do Garcas,BR,-15.89,-52.26,74.16,42,10,2.19,clear sky,0,0
35,Mar Del Plata,AR,-38.0,-57.56,48.99,87,0,3.36,clear sky,0,0
36,Porto Torres,IT,40.84,8.4,77.56,63,0,3.53,clear sky,0,0
37,Vila Velha,BR,-20.33,-40.29,79.0,83,20,1.12,few clouds,0,0
38,Paciran,ID,-6.88,112.38,73.31,77,83,9.6,broken clouds,0,0
39,Huainan,CN,32.63,117.0,80.24,91,100,8.41,overcast clouds,0,0
40,Dingle,PH,11.0,122.67,81.81,82,73,9.86,broken clouds,0,0
41,Midland,US,32.0,-102.08,99.0,22,1,14.99,clear sky,0,0
42,Lexington,US,37.99,-84.48,89.6,55,1,8.05,clear sky,0,0
43,Riyadh,SA,24.69,46.72,91.4,31,22,8.03,few clouds,0,0
44,Kendari,ID,-3.94,122.5,76.68,75,91,3.09,overcast clouds,0,0
45,Puerto Ayora,EC,-0.74,-90.35,68.0,90,73,3.0,broken clouds,0,0
46,Albany,US,42.6,-73.97,75.0,75,28,5.59,scattered clouds,0,0
47,Mackay,AU,-21.15,149.2,70.0,68,0,5.82,clear sky,0,0
48,Cherskiy,RU,68.75,161.3,49.06,61,15,17.47,few clouds,0,0
49,Havelock,US,34.88,-76.9,82.0,90,84,3.0,broken clouds,0,0
50,Chulman,RU,56.85,124.91,64.35,85,99,4.79,overcast clouds,0,0
51,Punta Arenas,CL,-53.15,-70.92,39.2,80,98,10.29,overcast clouds,0,0
52,Tuktoyaktuk,CA,69.45,-133.04,53.6,76,75,9.17,broken clouds,0,0
53,Vanderhoof,CA,54.02,-124.02,77.81,33,89,1.9,overcast clouds,0,0
54,Kavieng,PG,-2.57,150.8,83.93,68,6,5.75,clear sky,0,0
