City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Turukhansk,RU,2020-08-14 20:20:45,65.82,87.98,60.37,84,96,13.78
1,Vaini,TO,2020-08-14 20:20:45,-21.2,-175.2,71.6,68,20,12.75
2,Sept-Iles,CA,2020-08-14 20:20:45,50.2,-66.38,66.99,63,20,9.17
3,Palmer,US,2020-08-14 20:20:45,42.16,-72.33,87.01,40,75,4.7
4,Chernyshevskiy,RU,2020-08-14 20:20:45,63.01,112.47,44.29,73,100,3.89
5,Olafsvik,IS,2020-08-14 20:20:45,64.89,-23.71,50.41,74,25,13.42
6,Bluff,NZ,2020-08-14 20:20:45,-46.6,168.33,33.01,94,51,3.0
7,Beckley,US,2020-08-14 20:15:59,37.78,-81.19,77.0,78,20,8.05
8,Saldanha,ZA,2020-08-14 20:20:45,-33.01,17.94,57.2,82,41,3.36
9,Andenes,NO,2020-08-14 20:20:46,69.31,16.12,53.6,93,75,11.41
10,Camana,PE,2020-08-14 20:20:46,-16.62,-72.71,63.21,67,79,8.99
11,East London,ZA,2020-08-14 20:20:46,-33.02,27.91,61.23,53,0,8.77
12,Broome,US,2020-08-14 20:20:46,42.25,-75.83,84.99,44,20,6.93
13,Torbay,CA,2020-08-14 20:20:46,47.67,-52.73,60.01,93,90,14.99
14,Ushuaia,AR,2020-08-14 20:20:46,-54.8,-68.3,35.6,89,75,11.41
15,Cape Town,ZA,2020-08-14 20:20:46,-33.93,18.42,59.0,87,75,17.22
16,Provideniya,RU,2020-08-14 20:20:46,64.38,-173.3,51.96,75,53,7.36
17,Yellowknife,CA,2020-08-14 20:20:46,62.46,-114.35,60.8,77,75,18.34
18,San Rafael,AR,2020-08-14 20:18:33,-34.62,-68.33,61.59,27,0,9.24
19,Vila,PT,2020-08-14 20:20:46,42.03,-8.16,64.0,71,1,1.01
20,Busselton,AU,2020-08-14 20:20:46,-33.65,115.33,55.99,82,33,10.83
21,Juneau,US,2020-08-14 20:20:23,58.3,-134.42,53.6,87,90,4.7
22,Albany,US,2020-08-14 20:16:37,42.6,-73.97,86.0,35,98,6.98
23,Flin Flon,CA,2020-08-14 20:20:47,54.77,-101.86,73.4,35,75,12.75
24,Madingou,CG,2020-08-14 20:20:47,-4.15,13.55,77.32,64,100,5.21
25,Chapais,CA,2020-08-14 20:20:47,49.78,-74.85,73.4,40,1,3.36
26,Butaritari,KI,2020-08-14 20:20:47,3.07,172.79,81.81,79,98,12.1
27,Kavaratti,IN,2020-08-14 20:20:47,10.57,72.64,82.44,78,100,20.8
28,Saint-Philippe,RE,2020-08-14 20:20:47,-21.36,55.77,66.2,72,21,8.05
29,Rawson,AR,2020-08-14 20:20:47,-43.3,-65.1,49.91,45,31,18.48
30,Mataura,NZ,2020-08-14 20:19:59,-46.19,168.86,33.01,94,0,3.0
31,Ajnala,IN,2020-08-14 20:20:48,31.84,74.76,84.2,83,20,6.8
32,Den Helder,NL,2020-08-14 20:19:02,52.96,4.76,73.4,83,90,6.93
33,Chateaubelair,VC,2020-08-14 20:20:48,13.28,-61.25,84.2,70,20,5.82
34,Narsaq,GL,2020-08-14 20:20:48,60.92,-46.05,53.6,71,75,9.17
35,Bodo,NO,2020-08-14 20:16:35,67.28,14.4,55.4,87,75,18.34
36,Aksarka,RU,2020-08-14 20:20:48,66.56,67.8,45.37,75,44,5.21
37,Deputatskiy,RU,2020-08-14 20:20:48,69.3,139.9,33.01,94,100,6.73
38,Avarua,CK,2020-08-14 20:20:48,-21.21,-159.78,77.0,94,54,12.75
39,Timizart,DZ,2020-08-14 20:18:11,36.8,4.27,78.82,53,67,7.36
40,Punta Arenas,CL,2020-08-14 20:20:48,-53.15,-70.92,33.8,80,90,10.29
41,Dunedin,NZ,2020-08-14 20:20:49,-45.87,170.5,39.99,79,0,1.99
42,Kaitangata,NZ,2020-08-14 20:20:49,-46.28,169.85,34.0,79,0,3.0
43,Saskylakh,RU,2020-08-14 20:20:37,71.92,114.08,35.74,89,85,2.26
44,Tura,IN,2020-08-14 20:20:49,25.52,90.22,75.72,96,100,6.2
45,Haines Junction,CA,2020-08-14 20:20:49,60.75,-137.51,59.23,56,100,2.73
46,Ucluelet,CA,2020-08-14 20:20:49,48.93,-125.55,68.0,64,5,11.41
47,Mehamn,NO,2020-08-14 20:20:49,71.04,27.85,53.6,87,75,5.82
48,Atuona,PF,2020-08-14 20:20:49,-9.8,-139.03,77.58,71,96,14.83
49,Iglesias,IT,2020-08-14 20:20:49,39.31,8.54,82.99,51,0,9.17
50,Jamestown,US,2020-08-14 20:20:49,42.1,-79.24,82.99,51,40,11.41
51,Port Elizabeth,ZA,2020-08-14 20:20:50,-33.92,25.57,50.0,93,0,4.7
52,Bilma,NE,2020-08-14 20:20:50,18.69,12.92,98.94,19,0,8.1
53,Sioux Lookout,CA,2020-08-14 20:20:50,50.1,-91.92,75.2,69,90,8.05
54,Pevek,RU,2020-08-14 20:20:50,69.7,170.31,46.15,78,100,17.43
55,Thompson,CA,2020-08-14 20:20:50,55.74,-97.86,71.6,46,75,10.29
56,Tasiilaq,GL,2020-08-14 20:20:50,65.61,-37.64,51.8,37,20,6.93
57,Coahuayana,MX,2020-08-14 20:20:50,18.73,-103.68,80.6,78,75,6.93
58,Orlik,RU,2020-08-14 20:20:50,52.52,99.83,49.26,78,95,1.59
59,Sitka,US,2020-08-14 20:20:51,57.05,-135.33,60.8,67,90,11.41
60,Tezu,IN,2020-08-14 20:20:51,27.92,96.17,76.46,79,88,2.91
61,Qaanaaq,GL,2020-08-14 20:20:51,77.48,-69.36,37.96,85,100,8.99
62,New Norfolk,AU,2020-08-14 20:20:51,-42.78,147.06,48.99,90,59,0.34
63,Cidreira,BR,2020-08-14 20:20:51,-30.18,-50.21,61.66,90,53,14.05
64,Bani Walid,LY,2020-08-14 20:20:51,31.76,13.99,78.75,43,0,8.99
65,Estelle,US,2020-08-14 20:19:34,29.85,-90.11,91.4,66,75,5.82
66,Camocim,BR,2020-08-14 20:20:51,-2.9,-40.84,84.49,57,2,19.6
67,Nikolskoye,RU,2020-08-14 20:20:51,59.7,30.79,60.8,72,40,4.47
68,Port Alfred,ZA,2020-08-14 20:20:51,-33.59,26.89,56.55,70,0,3.94
69,Ponta Delgada,PT,2020-08-14 20:20:51,37.73,-25.67,75.2,78,20,11.41
70,Colares,PT,2020-08-14 20:20:51,38.8,-9.45,69.01,77,20,10.29
71,Tual,ID,2020-08-14 20:20:52,-5.67,132.75,78.96,86,100,17.4
72,Bredasdorp,ZA,2020-08-14 20:17:00,-34.53,20.04,55.4,71,0,2.24
73,Tilichiki,RU,2020-08-14 20:20:52,60.47,166.1,50.52,88,100,10.51
74,Esperance,AU,2020-08-14 20:20:52,-33.87,121.9,46.4,100,71,11.41
75,Listvyanka,RU,2020-08-14 20:20:52,51.85,104.87,55.4,100,40,2.24
